primary_subject,complaint_narrative,scam_type,website
STRADX Strategic derivatives,"A California resident reports joining the “NV Prime Club” online, in order to invest in “STRADX Strategic Derivatives”., located at app.stradxdatalake.com. After a while, the website demanded that the victim to invest additional funds. The victim refused, and the platform froze their money and demanded $105,0000 to release the funds. The victim has not been able to withdraw their funds from the platform, and the platform is no longer operational. The victim lost all their retirement savings on the platform.",Fraudulent Trading PlatformInvestment Group Scam,app.stradxdatalake.com
axioraswap.io,"A California resident reports on their experience with the crypto asset trading platform, AxioraSwap.io, which they tried to use to swap some crypto assets for a different token, but never received the swapped tokens. The resident has been unable to recover their funds and the platform is no longer operational.",Fraudulent Trading PlatformBait and Switch Scam,AxioraSwap.io
official-xai.com(Entity Impersonating xAI),"Two California residents report about their experience with two fraudulent platforms, official-xai.com and https://xai-network.com/home/. The first victim reports that they watched a video that linked to the “xAI token” presale on official-xai.com. The victim reports that they saw a fake video of “Elon Musk” talking about the coin which led them to believe that the offering was legitimate. The victim then initiated a swap for their DOGE coin and put in more than the minimum due to the promise of attractive “bonuses”. After engaging in multiple “successful” transactions with official-xai.com, the victim reports that official-xai.com told the victim they could receive a larger bonus if they made another presale purchase. The victim then transferred USDT and did not receive any coins in return. The website is now defunct. The victim reports sending cryptocurrency to the following wallet addresses:c4473f3d60ebc2c48ee00ac4a7dd44a19e5f131c596cac047d1bae081514099cDTLcykDRKbgQ8AKsnnnKP9WwZuVD1sFAanDKFXeqPcv4s8nFB4pZxjfu2hwjV8LkwXNzDTLcykDRKbgQ8AKsnnnKP9WwZuVD1sFAanThe second victim reports that they clicked on the link found in a YouTube video and decided to invest on fraudulent platform, https://xai-network.com/home/. The victim sent 2,300 XRP tokens to https://xai-network.com/home/ to swap for the “xAI token” as part of the presale. After sending the XRP tokens and communicating with “customer service”, the victim reports not receiving the “xAI tokens” in return. The platform is no longer available.The above sites are not affiliated with the company, xAI.",Fraudulent Trading PlatformRug Pull Scam,official-xai.comhttps://xai-network.com/home/
cointrust1.cc,"A California consumer reports about their experience using the crypto asset trading platform Cointrust.cc operating at https://cointrust1.cc/. After making two deposits to the platform in crypto, the resident was then unable to access or withdraw their funds from the platform.  The website is no longer operational. All told, the resident lost more than $2,400. The resident reports sending ETH to 0x33efb1efc0faeda19003fb4e73e7bc7b8d0c807a.",Fraudulent Trading Platform,https://cointrust1.cc/
oslvsap.vip,"A California resident reports they were approached online by someone who eventually introduced them to the crypto asset trading platform OSL operating at www.oslvsap.vip. The online friend told the victim they could make large profits on the platform. The victim started with a small investment. Over time, the online friend encouraged the victim to deposit more money on the platform, and at one point, believed their account had grown to more than $140,000. But when the victim tried to withdraw funds, the platform demanded they pay a “20% management fee”. After paying the fee, which amounted to $25,000, the platform demanded they pay an additional $21,000 under the guise of some sort of verification fee. The victim has been unable to recover any funds from the platform, which is no longer operational. All told, the victim lost more than $90,000.",Fraudulent Trading PlatformPig Butchering Scam,https://www.oslvsap.vip
web.bitfarms.top,"A California resident reported their experience with the crypto asset trading platform Bitfarms operating at https://web.bitfarms.top. After depositing funds on the platform, the victim was able to engage in several successful transactions. But when they tried to withdraw funds, the platform demanded they pay a “mining fee”. The victim paid, but then the platform demanded they pay a “tax bill.” The victim has been unable to withdraw their funds from the platform, which is no longer operational.",Fraudulent Trading Platform,https://web.bitfarms.top/#/
invescoin.com,"A California consumer reports about their experience with an online crypto asset trading platform operating at Invescoin.com. The consumer opened an account on the platform, deposited funds, and the platform appeared to show that the victim earned significant profits. But when the victim tried to withdraw their funds, Invescoin did not respond.The consumer has not recovered any funds. The website is no longer in operation. All told, they lost more than over $159,000.",Fraudulent Trading Platform,https://www.invescoin.com/#/home
firepin.io,"A California consumer reports about their experience with the crypto asset platform operating at firepin.io. The consumer was led to believe they could purchase a new crypto asset token before it went public. The consumer deposited funds on firepin.io to purchase the token but later requested a refund and received no response. The consumer has not recovered any funds, and the website is no longer operational.",Rug Pull Scam,https://firepin.io
ycbit.com,"A California resident reports being contacted via LinkedIn and Whatsapp by an individual claiming they could make quick, profitable investments using the crypto asset trading platform YCBIT operating on the website ycbit.com. The resident created and funded an account on the platform and after trading there, believed their account had grown in value. But when the resident tried to withdraw funds, the website demanded multiple payments including a deposit equal to 10% of the withdrawal amount, another deposit equal to 15% of the total balance of the account to confirm identity, and another deposit equal to the total amount in the account, before it would allow a withdrawal. The resident has not recovered any funds and the website is no longer active.",Fraudulent Trading PlatformPig Butchering Scam,ycbit.com
kakucoin.com(Entity Impersonating KuCoin.com),"A California resident reports on their experience with the crypto asset trading platform operating on the website kakucoin.com. After creating and funding an account on the platform, the resident believed his account was growing in value. But when the victim tried to make a withdrawal, the site demanded they deposit additional funds first. The victim did so, but was still unable to withdraw funds. The resident has not recovered any funds and the website is no longer active.This is not to confused with legitimate exchange, KuCoin.com.",Fraudulent Trading PlatformPig Butchering Scam,kakucoin.com
ETF Swap Presale,"Multiple California residents report on their experience with a crypto asset venture operating on the website etfswappresale.com. They report the site offered initial coin offerings (ICO’s). But after they deposited funds on the website to invest in the ICO’s, they didn’t get the coins, nor could they get their money back. One victim reported that all their crypto assets were transferred out of their crypto wallet after they clicked on a related website, etfswappresale.live. Neither of the websites are currently active.",Crypto Wallet Drainer Attack,etfswappresale.cometfswappresale.live
stocks-finance.com,"A California victim reports on their experience with the crypto asset trading platform operating at stocks-finance.com. After trading on the site, and believing they had made profits, the victim tried to make a withdrawal from their account for an emergency. The platform's customer service first advised the customer to wait a day, then told them their account had been closed or switched to a different crypto account, and then their account balance suddenly showed a negative balance. The victim has been unable to withdraw their funds and the website is not operational.",Fraudulent Trading Platform,stocks-finance.com
2bridgeio.com,"A California residents reports meeting “Dylan” on a dating app who suggested they move their conversations to WhatsApp. At some point, Dylan brought up the topic of investing in crypto assets. Dylan convinced the victim to open an account on the trading platform operating at 2bridgeio.com and sell some of their other investments to transfer funds onto that platform. The victim deposited funds on 2bridgeio.com and attempted to withdraw, but has been unable to recover any of their funds.  Thewebsite is no longer operational. All told the victim lost more than $550,000 on the platform.",Fraudulent Trading PlatformPig Butchering Scam,http://2bridgeio.com/
usdcbtc.cc,"Multiple people report on their experiences with a crypto asset trading platform operating at the website usdcbtc.cc:A California victim was introduced to the site through a WhatsApp group called “Star Navigation Capital”.  The group was led by a trading guru “Jason” and his assistant “Caroline”.  At first, Jason and Caroline gave stock tips, but after a few weeks, Jason encouraged group members to trade ICOs (initial coin offerings) on usdcbtc.cc.  Based on Jason’s advice, the victim took out a large loan and transferred funds to the site.  The victim was able to withdraw small portions of their account balance.  But when the victim tried to withdraw a more substantial sum, the platform demanded they pay a large withdrawal fee first.  The victim has been unable to recover their money.  All told they lost more than $330,000 on the website.A second California victim reports they also opened an account and transferred funds to usdcbtc.cc for crypto trading.  Over time, the victim believed they made more than $1.4 million from crypto trading.  The victim reports they were also initially able to withdraw smaller sums of money from the site.  But when the victim tried to withdraw a larger sum, the site demanded they pay a 10% withdrawal fee.  The victim has since been unable to withdraw their money. All told, they lost approximately $60,000 on the website.An out-of-state victim reported that they were referred to usdcbtc.cc by a friend who claimed to be making “easy money trading on crypto”.  The friend referred the victim to a WhatsApp group called “Celestial Investment Crew”, also led by Jason and Caroline.  Jason encouraged group members to drain any stock accounts so they can deposit money on the site.  Following Jason and Caroline’s instructions, the victim opened an account and transferred funds to buy ICOs. They have been unable to withdraw any of their funds. All told they lost at least $10,000 on the website.A second out-of-state victim also reported usdcbtc.cc.  The victim invested $5,000 and believed they made $11,000 in trading gains.  They have been unable to withdraw any of it.  The website is no longer operational.The victims identified the following Ethereum wallets as part of the scam:0x0d113Bd8F4D9Cf77d02Dcb036C4E54dDF3A3835E0x925b13608a9D7B65Bf5d55DD528488A33A43cbFF0x61741b69e6196fe3da3e51dd50d8b6c3400188bc0xF70e17934465D64604FEdf6E0a3721797291f8E00x8D133f737654c759a588fd99D4A08A376FB8bCe80x8bdfeaff0a7d9d7fa67309da1c793ed979f645ebThe victims also identified the following Bitcoin wallets as part of the scam:3AMCzuPvuFsQFb3XAcAK2kfUVcWfkGvE1g1FCpLh7v3iBm5a5Pt2QhRDy4se6U8PgFT83GpokEfKuY3ZuKxVaLzdZ8JTzQ3jtoG8K2Finally, the victims identified one TRON wallet as part of the scam:TCDmtc4qVdPzmeqmKNZoCW5M2cwxHmD4eb",Fraudulent Trading PlatformRug Pull Scam,https://usdcbtc.cc/
Web3.rfolmax.com,"A California resident reports on their experience with a purported crypto asset trading platform operating on the website http://web3.rfolmax.com/. The resident transferred assets to fund an account on the platform and was initially able to withdraw a small amount from their account. However, after believing they had made profits trading crypto assets, when they tried to make another withdrawal, the platform demanded a $58,000 “tax.” The resident paid the fee, but then was told their account was locked due to “suspicious activity “and the platform demanded they deposit another $30,000 in their account to “verify their identity”. The victim has been unable to recover any more funds from the platform and the website is no longer operational. All told, the victim lost at least $90,000 on the platform.Rfolmax.com associated wallet addresses:1Ev7RDRL2PNzZZmRYELtJHRTqHRTqHb7DbGVb0x0F16E4832AEcDb8f207502F6C94455541Dd995e7",Fraudulent Trading Platform,http://web3.rfolmax.com/
Up-Businesshttp://up-business.topup-business.business,"Two California residents reported about their experiences investing on the crypto asset trading platform Up-Business. The first victim was approached by “Raddy” on Facebook who suggested they continue their conversations on WhatsApp. Over time, Raddy began introducing the resident to crypto asset trading and eventually convinced the resident to invest with Raddy on the trading platform, located at the website up-business.top. Raddy convinced the victim they used an AI trading program that would generate stable returns. Following Raddy’s instructions the victim invested funds on the platform and believed they were earning substantial profits on the platform. But when the victim tried to withdraw funds from the platform, they were not able to. All told the victim lost more than $55,000 on the platform. The resident reported sending crypto to 0xB10ABECA64cf19d37c45045a5851BB528fB21E47.The second victim was approached by “Reddy” on WhatsApp who convinced them to  create an account and transfer funds to a crypto asset trading platform located at up-business.business. Reddy convinced the victim they could earn profits with an AI-based crypto asset trading program, but they needed to make a minimum of five trades. The victim made the five trades and believed they had made a profit on the platform. But when the victim tried to withdraw funds, the platform’s customer support demanded they deposit additional funds and engage in five more trades first. Reddy encouraged the victim to do this, and soon the victim believed their account had grown to more than $100,000. But when the victim tried to withdraw funds again, the platform demanded they pay 10% of the withdrawal before it would release the funds. The victim has been unable to recover any funds and the platform is no longer operational.",Pig Butchering ScamFraudulent Trading Platform,http://up-business.top/http://up-business.business/
tensorium.ai,"A California resident reports investing funds on the crypto asset platform Tensorium but has not been successful in getting the funds returned despite requests. The website is no longer operational. All told the victim lost $30,000.",Fraudulent Trading Platform,tensorium.ai
Union Maga Morgan Club,"A California consumer joined a WhatsApp group called “Morgan Club,” where members posted trading signals to make profitable investments. The group encouraged the victim to open an “institutional account” on a platform called Union Maga or unionmaga.com.Encouraged by the group members posting messages about large trading gains, the victim deposited funds onto the platform. After a month or so, the victim believed their account had grown to approximately $6 million. But when the victim tried to withdraw funds, the platform demanded a 10% commission. The victim paid but the platform then shut down and they could no longer log in.The consumer has not retrieved any of their invested funds. The site is no longer in operation. All told, the investor lost at least $350,000.",Investment Group ScamSignal Selling Scam,http://unionmaga.com
wealthfrontes.com,"A California resident reports being contacted via WhatApp by an individual claiming to be part of an exclusive investment group. The individual said the victim could make money investing on the crypto asset platform Wealth Firms hosted at wealthfrontes.com. Following the individual’s instructions, the victim opened an account, transferred funds began to invest on the platform. Over several months the victim made multiple trades and believed they were making profits. But when the victim tried to withdraw the funds, the platform said the account was locked and demanded they pay security fees. The website is no longer operational and the victim has been unable to recover any of their funds. All told the victim lost approximately $40,000.The victim reported transferring assets to the following wallet addresses:ETH:0x9af6b373b09160ebdaf7d915f37443ef3513cfac0x171dd048d1e9fa8ed2e005b7c46ff8ac76e960470x61876fa5cca2fa1a6b05764897f4aa77396c3ff70x243bde8dd82635ea121bf56368de399546f6dafd0x6fca9545581b5b4d9383e71a2eafdbe987cfe86a0xad33638322e12612f3cd790fc0246053e358f0f70xebbf281b9bd4f9e10e6ac81dc6984774ebd4587d0xb8951e9f751624d5c6bd3b2269bc72d1ca3e2d67BTC: 19SaGaeWAd6T34CKZg4UqzmXas84xcyP6yETH: 0xeCC59707267E3Ce8c9F04DbB4c804971dA9376FeUSDC: 0x61876Fa5CCa2fa1A6B05764897f4Aa77396c3fF7ERC20: 0x7169c5401E4e362Efa7FF3E259D475adD254B468",Fraudulent Trading Platform,http://wealthfrontes.com
XSWUS.NET,"A Californian reports they lost over $2.2 million to a fake crypto trading platform called XSWUS.net.  The victim says they were introduced to the platform by someone they met on Facebook, who they believed to be a romantic partner.  The victim believed they had earned almost $4 million trading on the platform.  However, they have not been able to recover their money.",Fraudulent Trading Platform,http://xswus.net/
zenmev.com,"A California resident reports investing funds on the crypto asset platform Zenmev.com which advertised it provided MEV staking service. Then the victim’s Zenmev.com X account was deleted from the platform and the website is no longer operational. All told the victim lost more than $550,000",Fraudulent Trading PlatformLiquidity Mining Scam,http://zenmev.com/
http://bynoxdex.com/,A California resident reports on their experience with a crypto asset trading platform operating at the web address bynoxdex.com. The resident transferred crypto assets to the platform but now the website is no longer operational. The victim has not been able to recover their funds.,Fraudulent Trading Platform,http://bynoxdex.com/
Hrdebithrdebit.com,"A California resident reports meeting an individual named “Jack” who claimed he had developed a trading mechanism using AI that guaranteed profitable trades 100% of the time. Jack told the victim about a futures exchange trading platform, Hrdebit, operating at hrdebit.com where he would trade bitcoin for the both of them. Following Jack’s instructions, the victim set up an account and deposited funds, believing the account was worth more than $2 million after only a few weeks of investing. But when the victim tried to withdraw their profits, the platform’s customer service demanded a 20% service fee and that it would seize the funds if the victim didn’t pay. The victim has been unable to recover their funds from the platform and the website is no longer operational. All told, the resident lost at least $358,000 on the platform.",Pig Butchering ScamAI Investment Scam,hrdebit.com
Amundi Ltd,"A California consumer was approached online by “Amundi TM” who claimed to be a broker representing an investment firm. The alleged broker encouraged the consumer to access to a trading platform at amundi-ltd.com and then offered “margin loans” to facilitate larger trades. After the larger trades appeared to yield profit, the broker demanded the victim repay the margin loan by wiring funds from their bank, rather than from the profits in the account.The consumer did not pay and now has been unable to recover their investment. The site is not operational.",Pig Butchering ScamFraudulent Trading Platform,https://www.amundi-ltd.info/
ApolloX,"A California resident reports that they were contacted on Instagram by a stranger, who eventually asked that they move the conversations to WhatsApp. At some point, the stranger introduced them to Crypto futures trading on fraudulent platform, ApolloX, operating at the website apolloxxap.com. The victim invested, and believed they were making profitable trades, but when they to withdraw their funds, the ApolloX helpdesk told the resident they suspected “malicious trading” in the account and demanded a $10,400 “security fee”. The resident paid the fee but ApolloX then demanded a “tax” on profits. The resident paid the “tax” but the platform told them that since their account had past issues, they would have to wait to make a withdrawal, unless they purchased a “VIP membership” for $50,000. The victim contacted the stranger who suggested that if the victim could pay $10,000 to ApolloX the stranger would pay the remaining $40,000 for the “VIP membership.” But even after obtaining the VIP membership, ApolloX demanded an additional $20,000 in “withdrawal fees”. The resident has not been able to withdraw their funds and the website is no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,http://apolloxxap.com
bitcoin25.io,"A California consumer reports watching a YouTube livestream featuring a prominent CEO who claimed that if one sent crypto to certain wallet addresses through bitcoin25.io, the site would send back double the amount.The consumer sent the crypto assets to the wallet but has not recovered any funds and the site is no longer in operation. The consumer sent Ethereum to the following address:0xA697b4a30Aee4E0e98B2a3Dc0E7bD28a9D934cFf",Crypto Giveaway/Airdrop Scam,http://bitcoin25.io/
denoex.com,"A California resident reports watching a video that claimed to feature a well-known crypto asset personality who said they could make money investing funds on the crypto asset platform Denoex, at www.denoex.com. The victim opened an account on the platform and believed they had successfully made several trades. But then the platform notified the victim their account was being flagged as at risk for money laundering and demanded the victim pay additional funds to verify their account. The victim paid, and then platform demanded they upgrade to a premium membership to make withdrawals. The victim has been unable to recover their funds, and the website is not operational.",Crypto Giveaway/Airdrop Scam,https://www.denoex.com/
homescnl.com,"A California resident reports that they were invited to Homescnl.com via video conference with an individual who claimed to be the CEO of the company. During the call, the CEO said it made money in California real estate by buying properties at below market prices, remodeling them, and selling them at a profit to pay investors – a practice known as “flipping.”  The CEO said it paid investors twice a week and also would pay the resident to recruit additional people. All the payments would be made in crypto assets. The resident then opened an account on the website homescnl.com and deposited money in order to invest. The victim reported they received payments at first, but then the payments stopped and the website is no loner operational. All told the resident lost more than $30,000.",High Yield Investment ProgramFraudulent Trading Platform,homescnl.com
http://bitsorcoinss.com/,"A California consumer met “Lily” on a dating app who asked to move the conversation to WhatsApp. After discussing their shared interest in early retirement, Lily brought up the topic of trading crypto options.Shortly thereafter, the consumer received a text message from a purported crypto trading platform called bitsorcoinss.com which offered deposit-matching bonuses for opening an account. Lily pressed the victim to open an account on the platform. The victim sent funds but now cannot recover them and the website is no longer operational.",Romance ScamPig Butchering Scam,http://bitsorcoinss.com/
https://www.atomexc.com/,"A California resident reports meeting an individual on an online dating app who introduced them to crypto trading website, https://www.atomexc.com/. The resident deposited money onto https://www.atomexc.com/ and believed that the balance in their account was growing. But when the victim tried to withdraw funds, the platform demanded they pay a “tax”. The resident paid the “tax” but then the platform demanded an additional “fee” of $16,000 to complete the withdrawal. The victim did not pay the additional fee and has been unable to recover their funds from the platform. The website is no longer operational. All told, the victim lost more than $14,000.",Fraudulent Trading PlatformPig Butchering Scam,https://www.atomexc.com/
Propichain Finance,"A Californian reports on their experience trying to buy a crypto token called “Propichain” ($PCHAIN), on the website propichain.finance.  The victim sent money to Propichain but never received any tokens.  When the victim complained to Propichain’s customer support team, their login credentials were blocked.  The victim has not been able to recover any of their money and the website is no longer operational. All told the victim lost $20,000.",Fraudulent Trading Platform,https://propichain.finance/
btc01.org,"A California resident reports meeting an individual on an international dating app, Bumpy. After talking for a few months, the individual encouraged the resident to start investing on crypto asset trading platform, btc01.org. The website is no longer operational. The victim reports losing more than $46,000.",Pig Butchering ScamFraudulent Trading Platform,btc01.org
Crypto Networks,"A California consumer discovered Crypto-Networks.net through a promotional YouTube video and decided to use the platform to invest in cryptocurrency. After making a few small deposits that appeared to work, the consumer deposited more crypto assets. Following that deposit, the platform abruptly froze the consumer’s account.When the consumer contacted support, the platform demanded they upgrade to “Titan Status” before they could withdraw funds. The upgrade cost $10,000, which the consumer paid by transferring more crypto assets. Despite transferring the funds, the consumer’s account remained frozen, and the platform stopped responding. The site is no longer in operation and the consumer has not retrieved any of their funds.",Fraudulent Trading Platform,﻿Crypto-Networks.net
Lencoin TechLNO LNN LEN GOh5.lencoin.vip,"Five California residents report on their experience with the crypto asset trading platform Lencoin, which operated on the website www.h5.lencoin.vip. The residents all learned about Lencoin from visiting the website, wealthtutor.com, where a person named “Clark” discussed opportunities to make big profits by investing in crypto coins and using trade signals through Telegram or Whatsapp groups. Clark directed the residents to open accounts on Lencoin to make the trades, and the residents subsequently  transferred their cryptocurrency to Lencoin. The residents believed their accounts were rapidly growing but were met with various excuses when they tried to withdraw funds such as the transaction being flagged for a ""money laundering check"". Some residents were directed to transfer additional fund as a prerequisite to withdrawal. The residents did not recover their invested funds. Both www.h5.lencoin.vip and wealthtutor.com are no longer operational.",Fraudulent Trading PlatformSignal Selling Scam,h5.lencoin.netWealthtudor.comwealthtutor.comwww.h5.lencoin.VIP
Digital Finance Academy,"A California resident reports about the experience with the so-called investment education platform, “Digital Finance Academy” which offered access to a “Trader Incubation Program” called the “Stable Trading System 6.0 investment system”. To participate in the program, the resident paid $50,000 in crypto assets, believing they could net 300% through the issuance of a crypto asset Academy Token (“STS”). Digital Finance Academy claimed that once they had sold enough tokens to reach their target the resident would get their returns, though would have to pay 30% to the academy for various subscription/service-related fees. But after participating in the program, the platform demanded $54,000 for “commissions” before allowing any withdrawals. The resident has not been able to recover their funds and the investment program is no longer operational.The DFPI cautions consumers to be wary of entities purporting to be investment education platforms offering access to proprietary investment programs or technologies to solicit investment in crypto. These entities may promise unusually high returns in vague investment opportunities that appear to be sophisticated or complex (e.g. algorithmic trading systems, AI-driven strategies, etc.) and may even have consumers sign into an investment contract to appear legitimate.",Signal Selling ScamFraudulent Trading Platform,http://h5.peabdexapp.vip
pzmqgow.top,"A California resident was contacted via social media and WhatsApp by “Samiya” who claimed to be associated with a well-known investment firm based in San Diego. Samiya promised high returns from investing in crypto and told the victim to download a crypto wallet app. Samiya then provided instructions on how to open an account on pzmqgow.top and send funds to the platform from the wallet app encouraged the victim to make multiple deposits. But when the victim tried to withdraw funds, the platform’s customer service demanded fees to release their funds. The resident has not been able to recover any funds and the website is no longer operational.",Pig Butchering ScamFraudulent Trading Platform,pzmqgow.top
stdubrye.top,"A California resident reports meeting an individual on an online dating app who introduced them to short-term crypto asset trading. The individual encouraged the resident to open an account on the crypto asset trading platform, stdubrye.top to begin trading. At the direction of the individual, the victim deposited money onto the platform to begin trading. But when the victim tried to withdraw funds, the platform demanded they pay $275,000. The victim did not pay, and the individual they met on the dating app stopped responding. The victim has been unable to recover any funds from the platform and the website is no longer operational. All told, the victim lost more than $240,000.",Fraudulent Trading PlatformPig Butchering Scam,https://stdubrye.top
VOEXVoexevoex.comvoexit.com(Entity may be impersonating Vectis Automation),"A California resident reports about their experience with the crypto asset trading platform, VOEX or Voexe. The resident reports that the platform promised a reward of 118,888 USDT if investor deposits exceeded one million by a certain date. When the victim was unable to meet the deadline, Voexe deducted 100,000 USDT from the victim’s account, and demanded even more funds if the victim wanted to withdraw the balance of their account.Based on a screenshot provided by the victim, the platform operated under web domains voex.com and voexit.com, and appears to mimic the look and interface of another crypto trading platform. However, the logo used by the platform is stolen from the robotics solutions company, Vectis Automation. This is not to be confused with Vectis Automation at https://vectisautomation.com/.",Fraudulent Trading Platform,voex.comvoexit.com
Bitexone.com,"A California resident reports seeing an Instagram profile whose ""bio"" displayed a promo code for the BitexOne.com, purportedly offering 0.12 BTC to sign up with the code ABTC12, with the Instagram account featuring various photos of Elon Musk.  The resident visited the site, provided their personal information, but did not receive the promised crypto assets. The website is no longer operational.",Crypto Giveaway/Airdrop Scam,Bitexone.com
wealthtutor.com,"A California resident reports on their experience with the purported crypto asset trading platform on the website https://www.xcrypto.global/xcrypto/. The victim deposited crypto assets on the platform in order to trade, but when they tried to withdraw their funds, the website blocked it. The resident has been unable to recover any of their funds and the website is no longer operational. All told, the victim lost approximately $26,000 on the platform.",Fraudulent Trading Platform,https://www.xcrypto.global/xcrypto/
YSPA Crypto,"A California resident reports learning about the crypto asset trading platform, YSPA Crypto (http://wap.yspacrypto.co), from “Lena” who claimed she would provide trading signals to make profits. Further, Lena said that the more money the resident put into YSPA Crypto, the higher they would be ranked. But when the victim began trading, their account showed a loss. The victim told Lena, who then disappeared. The victim has been unable to withdraw their funds, and the website is no longer operational.",Investment Group ScamFraudulent Trading Platform,http://wap.yspacrypto.co
xplivetrade.com,"A California resident reports that they were contacted on Facebook by someone asking if they would like to invest in cryptocurrency. After viewing the individual’s Facebook profile, filled with testimonials from other individuals purchasing new cars and houses crediting the platform, the resident reached out saying they were interested. The individual instructed the victim how to open an account to begin trading on the crypto asset trading platform operating at xplivetrade.com, promising a return of $5,500 in three days. After three days, the victim’s account on the platform showed a profit of $60,000. But when the victim tried to withdraw funds, the platform demanded 15% of the earnings. The victim paid, but the platform demanded another $7,000 fee to convert the crypto assets to cash. The victim reached out to the person they met on Facebook, who said if the victim gave them $1,500 they would get the money back in their bank account in 20 minutes. The victim refused, and has been unable to withdraw their funds from xplivetrade.com. The website is no longer operational.",Pig Butchering ScamFraudulent Trading Platform,xplivetrade.com
CBMWW.combittisport.comnvbit.ccfrbit.cc,"Two California residents report about their experience with the crypto asset trading platform, CBMWW, operating at wwww.cbmww.com.The first California resident indicated they were messaged on Facebook by someone claiming to be a crypto investor. The Facebook investor asked to move the conversations over to WhatsApp, and then presented an investment opportunity involving bitcoin trades, promising high returns. All told the victim invested more than$400,000 and stated that they can no longer access their cryptocurrency. The victim reports the domain name changed several times, and reports encountering the following domains:bittisport.com, nvbit.cc, frbit.cc, cbmww.comThe second California resident reports being approached by “Yinan” on Facebook. Yinan told the resident she had a successful business and was planning to retire early. When the resident inquired about this, Yinan claimed to have an uncle who managed a team of analysts that could determine which crypto asset to invest. Yinan showed business statements to the resident to prove she had made solid returns. Yinan then directed the resident to open an account on the crypto asset trading platform, CBMWW, operating at www.cbmww.com. The victim initially invested and was able to withdraw their first profit of $1,000. After that Yinan enticed the resident to deposit more funds, claiming she would regularly provide information about upcoming markets to trade in along. At one point, the resident believed that their account had grown to more than $1 million. But when they tried to withdraw funds, the platform’s customer support demanded the resident pay the “Cryptocurrency Regulatory Authority” a $260,000 tax . Yinan offered to help pay half of the tax, but the victim realized she was only trying to gain access to their crypto asset wallet. All told, the resident lost over $179,000. The websites are no longer operational.The resident reported sending cryptocurrency to the following wallet addresses:0xb1ee662001a0247270b282e03cfc0c86642babec0xa5fe0f74911715f5d6290d39da823c8e15986554",Pig Butchering ScamFraudulent Trading Platform,CBMWW.combittisport.comnvbit.ccfrbit.cc
Tesladigital.us (Entity Impersonating Tesla),"A California resident reports encountering a crypto coin offering offered at the web domain, Tesladigital.us. The website touted plans to go public, but continually push back the coin’s anticipated launch date. At one point, the website claimed there were only two days left to purchase “Teslacoin” (TES) as an early investor before it would close for 6 months. The victim decided to invest at $0.95 a share. Later the webiste claimed ES had increased to $17.57 which led the victim to believe their investment was worth $175,000. However, the when the victim tried to withdraw  funds, the website claimed the shares were restricted until the offering goes public. The resident been unable to recover their funds and the website is no longer operational.This is not to be confused with Tesla or any of its ongoing products and services at https://www.tesla.com/. The DFPI warns consumers to remain vigilant against scams fraudulently using the Tesla name, brand, or likeness to promote fake investment opportunities or giveaways. These schemes often appear on social media or spoofed websites, falsely claiming affiliation with Tesla or its executives, and may promise guaranteed returns, free cryptocurrency, or exclusive investment offers. The DFPI encourages consumers to verify the legitimacy of an investment opportunity before sending funds and reporting suspicious activity to the appropriate financial authorities.",Rug Pull ScamFraudulent Trading Platform,Tesladigital.us
Octal CapitalOctal-capital.com,"A California resident reports on their experience with the crypto asset trading platform, Octal Capital, at octal-capital.com. The resident started with a small investment of less than $200 and believed the account  grew to more than $83,000 on the platform. But when the victim tried withdraw their funds, a representative from the platform said they needed to purchase additional “programs” before they could make a withdrawal and offered the $43,000 “Mega Plan.” The victim sent funds to purchase the Mega Plan, but when they tried to withdraw their funds from the platform, it demanded an additional $5,000 payment for “gas fees.” The platform instructed the victim to send crypto assets the following wallet address: 0xcfE181465c0c750F3d914bb9a9805e96a6d6AbDa.The victim paid, but then learned the platform transferred their funds to an address on a different blockchain network. The victim contacted the platform and spoke with ""Sagar,"" who claimed to be a representative of the platform. However, Sagar demanded a “tax percentage fee” as a condition of unlocking the funds. The victim has been unable to recover their funds and the website is no longer in operation.",Fraudulent Trading Platform,Octal-capital.com
hikkod.com,"A California resident reports meeting an individual on a dating app who then suggested moving the conversation to WhatsApp where their relationship developed. At some point, the individual convinced the victim to invest in a crypto asset trading platform, at Hikkod.com. Following the individual’s instruction, the victim opened an account and transferred money to the platform. The individual claimed to have hired an analyst to provide tips in trading crypto options. Following these tips, the victim believed their $15,000 investment had increased to $17,000 and was able to withdraw $1,000. The victim continued to trade until they believed their account had grown to more than $570,000. But, when the victim tried to withdraw the funds, the platform demanded a “tax payment” fee of $20,000. The victim has been unable to recover their remaining funds and the website is no longer operational.The victim reports sending crypto assets to the scammer at the following wallet address: 0xe89107246a3808602ad4946f485ec4bad51045b7",Pig Butchering ScamFraudulent Trading Platform,Hikkod.com
globalcryptous.com,"A California resident reports being contacted via telegram about the crypto asset platform, globalcryptous.com. The victim invested over $900,000. But, when the victim tried to withdraw the funds, the platform demanded a “gas fee” of $45,000. The victim has been unable to recover their funds. The website is not operational.",Pig Butchering ScamFraudulent Trading Platform,http://globalcryptous.com
